id_incidencia,uuid_origen,codi_centre,codi_tipus,nif_empresa,id_data_obertura,id_data_restabliment,estat,canal_entrada,codi_sla,data_obertura,data_assignacio,data_restabliment,data_resolucio_definitiva,data_limit_sla,num_incidencies,cost_estimat,cost_real,cost_ma_obra,cost_materials,num_actuacions,hores_treball,hores_fins_restabliment,hores_fins_definitiva,sla_hores,requereix_seguretat,interromp_activitat,compleix_sla,ha_calgut_reparacio_posterior,esta_tancada,compleix_sla_int,esta_tancada_int
17,f9ba3791-7705-d41a-679e-a58d1a3d6d87,08000578,CLI-004,B60123456,20231227,20231230.0,TANCADA,TELEFON,NORMAL,2023-12-27 16:47:00+00:00,2023-12-27 18:40:41.869016+00:00,2023-12-30 19:58:59.718372+00:00,2023-12-30 19:58:59.718372+00:00,2024-01-01 16:47:00+00:00,1,988.4,988.4,573.27,415.13,1,7.83,75.19992177,75.19992177,120,False,False,True,False,True,1.0,1
18,5a646cd2-b25b-664d-acb1-994f4a0abe8f,08000578,PAL-002,B60123456,20240506,20240514.0,TANCADA,TELEFON,NORMAL,2024-05-06 13:35:00+00:00,2024-05-06 16:29:04.888850+00:00,2024-05-14 23:09:08.062973+00:00,2024-05-14 23:09:08.062973+00:00,2024-05-11 13:35:00+00:00,1,1093.18,1093.18,634.04,459.14,1,7.2,201.5689063813889,201.5689063813889,120,False,False,False,False,True,0.0,1
19,f16c5991-5832-ce64-b4d7-cca23ed5d5a7,08000578,CLI-003,B60123456,20260108,20260110.0,TANCADA,SENSOR,URGENT,2026-01-08 15:49:00+00:00,2026-01-08 17:48:40.975365+00:00,2026-01-10 05:48:07.504026+00:00,2026-01-27 03:40:58.411247+00:00,2026-01-09 15:49:00+00:00,1,303.23,409.36,237.43,171.93,2,6.86,37.985417785,443.8662253463889,24,False,True,False,True,True,0.0,1
21,21796914-451c-d527-b593-ccfbd711607f,08000578,FON-001,B60123456,20241225,20241226.0,TANCADA,TELEFON,NORMAL,2024-12-25 16:02:00+00:00,2024-12-25 20:06:29.008981+00:00,2024-12-26 01:59:31.565474+00:00,2024-12-26 01:59:31.565474+00:00,2024-12-30 16:02:00+00:00,1,340.27,340.27,197.36,142.91,1,1.83,9.958768187222223,9.958768187222223,120,False,False,True,False,True,1.0,1
22,c32dc679-d520-d3fe-53dc-c82dd8d90ff8,08000578,PAL-001,B60123456,20250924,20250928.0,TANCADA,TELEFON,NORMAL,2025-09-24 09:14:00+00:00,2025-09-24 11:40:10.411966+00:00,2025-09-28 09:20:24.297300+00:00,2025-09-28 09:20:24.297300+00:00,2025-09-29 09:14:00+00:00,1,353.08,353.08,204.79,148.29,1,6.56,96.10674925,96.10674925,120,False,False,True,False,True,1.0,1
24,e692b2ef-abdb-e0d0-64b6-2f10ea0c7adc,08000578,CLI-003,B60123456,20260525,20260609.0,TANCADA,SENSOR,NORMAL,2026-05-25 18:28:00+00:00,2026-05-25 21:59:02.542293+00:00,2026-06-09 18:42:59.544990+00:00,2026-06-09 18:42:59.544990+00:00,2026-05-30 18:28:00+00:00,1,677.05,677.05,392.69,284.36,1,6.07,360.24987360833336,360.24987360833336,120,False,False,False,False,True,0.0,1
25,dd387c18-3f1d-74db-d118-fb62f1dd93c2,08000578,PAL-004,B60123456,20241223,20241225.0,RESOLTA,WEB,NORMAL,2024-12-23 07:07:00+00:00,2024-12-23 11:07:04.197637+00:00,2024-12-25 19:27:29.299841+00:00,2024-12-25 19:27:29.299841+00:00,2024-12-28 07:07:00+00:00,1,212.36,212.36,123.17,89.19,1,3.21,60.341472178055554,60.341472178055554,120,False,False,True,False,True,1.0,1
29,477fa3ec-2f5a-c366-ebfa-52d480281955,08000578,FON-004,B60123456,20240327,20240328.0,TANCADA,INSPECCIO,URGENT,2024-03-27 10:01:00+00:00,2024-03-27 15:21:36.508012+00:00,2024-03-28 05:36:17.702271+00:00,2024-03-28 05:36:17.702271+00:00,2024-03-28 10:01:00+00:00,1,424.22,424.22,246.05,178.17,1,0.95,19.588250630833333,19.588250630833333,24,True,True,True,False,True,1.0,1
30,5d8b691f-59eb-0186-f8a3-8db4034437a0,08000578,ELE-004,B60123456,20250121,20250127.0,TANCADA,TELEFON,NORMAL,2025-01-21 16:13:00+00:00,2025-01-21 16:29:28.229670+00:00,2025-01-27 11:12:21.221984+00:00,2025-01-27 11:12:21.221984+00:00,2025-01-26 16:13:00+00:00,1,82.25,82.25,47.7,34.55,1,7.57,138.98922832888888,138.98922832888888,120,False,False,False,False,True,0.0,1
31,daddbfd9-ce94-3f59-35b0-d1086b89afba,08000578,ELE-002,B60123456,20231031,20231031.0,TANCADA,TELEFON,URGENT,2023-10-31 08:51:00+00:00,2023-10-31 09:36:19.507467+00:00,2023-10-31 11:45:56.347448+00:00,2023-10-31 11:45:56.347448+00:00,2023-11-01 08:51:00+00:00,1,142.17,142.17,82.46,59.71,1,1.99,2.915652068888889,2.915652068888889,24,False,True,True,False,True,1.0,1
39,7dc912c8-e427-679c-3ed8-3f0c5c52fcd6,08000578,EST-001,B60123456,20241126,20241126.0,TANCADA,TELEFON,URGENT,2024-11-26 07:02:00+00:00,2024-11-26 11:27:21.354960+00:00,2024-11-26 12:35:49.246112+00:00,2024-11-26 12:35:49.246112+00:00,2024-11-27 07:02:00+00:00,1,1023.41,1023.41,593.58,429.83,1,3.55,5.563679475555555,5.563679475555555,24,True,False,True,False,True,1.0,1
42,12b288f6-e724-89d1-67dd-e8d1ef5ac439,08000578,CLI-001,B60123456,20240319,20240319.0,RESOLTA,TELEFON,URGENT,2024-03-19 10:33:00+00:00,2024-03-19 12:33:26.188266+00:00,2024-03-19 22:43:02.911453+00:00,2024-04-14 12:02:12.033559+00:00,2024-03-20 10:33:00+00:00,1,336.99,454.94,263.86,191.08,2,12.12,12.16747540361111,625.4866759886111,24,False,True,True,True,True,1.0,1
43,69d48d24-1604-c32a-6bd6-3281fde25617,08000578,FON-002,B60123456,20231107,20231110.0,TANCADA,INSPECCIO,NORMAL,2023-11-07 14:25:00+00:00,2023-11-07 15:38:41.336581+00:00,2023-11-10 19:35:07.131654+00:00,2023-11-10 19:35:07.131654+00:00,2023-11-12 14:25:00+00:00,1,112.59,112.59,65.3,47.29,1,5.38,77.16864768166667,77.16864768166667,120,False,False,True,False,True,1.0,1
44,58c79ffc-c675-a0a6-f2bc-5ed34077591c,08000578,FON-003,B60123456,20260604,20260606.0,RESOLTA,WEB,NORMAL,2026-06-04 11:36:00+00:00,2026-06-04 13:52:14.521203+00:00,2026-06-06 15:41:51.673071+00:00,2026-06-06 15:41:51.673071+00:00,2026-06-09 11:36:00+00:00,1,102.23,102.23,59.29,42.94,1,3.99,52.09768696416667,52.09768696416667,120,False,False,True,False,True,1.0,1
45,f6587ed0-02ca-1876-5d84-6c11c48ba638,08000578,PAL-002,B60123456,20240417,20240417.0,TANCADA,WEB,URGENT,2024-04-17 08:53:00+00:00,2024-04-17 13:56:45.058853+00:00,2024-04-17 20:18:32.087007+00:00,2024-06-01 12:03:06.935588+00:00,2024-04-18 08:53:00+00:00,1,432.84,584.34,338.92,245.42,2,13.43,11.425579724166667,1083.1685932188889,24,False,True,True,True,True,1.0,1
46,7554c4c1-ae48-b963-5b56-d27571fc2d16,08000578,ELE-005,B60123456,20230922,20230926.0,TANCADA,SENSOR,NORMAL,2023-09-22 07:02:00+00:00,2023-09-22 07:34:38.834740+00:00,2023-09-26 01:16:26.653987+00:00,2023-09-26 01:16:26.653987+00:00,2023-09-27 07:02:00+00:00,1,216.7,216.7,125.69,91.01,1,2.08,90.24073721861112,90.24073721861112,120,False,False,True,False,True,1.0,1
49,fb2124fc-4654-1c3b-dfe1-2a3dedcee560,08000578,FON-002,B60123456,20240124,20240124.0,TANCADA,INSPECCIO,URGENT,2024-01-24 10:50:00+00:00,2024-01-24 14:06:57.706049+00:00,2024-01-24 23:28:02.814795+00:00,2024-01-24 23:28:02.814795+00:00,2024-01-25 10:50:00+00:00,1,185.48,185.48,107.58,77.9,1,8.41,12.634115220833333,12.634115220833333,24,False,True,True,False,True,1.0,1
52,ccda461a-ad0c-0a82-b4da-c2d51cafd878,08000578,PAL-002,B60123456,20251022,20251105.0,TANCADA,TELEFON,NORMAL,2025-10-22 13:29:00+00:00,2025-10-22 16:11:45.018802+00:00,2025-11-05 00:23:34.792289+00:00,2025-11-05 00:23:34.792289+00:00,2025-10-27 13:29:00+00:00,1,379.7,379.7,220.23,159.47,1,6.45,322.90966452472225,322.90966452472225,120,False,False,False,False,True,0.0,1
53,81dce24f-b047-2cf9-866e-6e5248662db4,08000578,FON-002,B60123456,20250613,20250615.0,TANCADA,TELEFON,NORMAL,2025-06-13 18:31:00+00:00,2025-06-13 19:54:34.328143+00:00,2025-06-15 22:59:36.599394+00:00,2025-06-15 22:59:36.599394+00:00,2025-06-18 18:31:00+00:00,1,107.65,107.65,62.44,45.21,1,8.9,52.476833165,52.476833165,120,False,False,True,False,True,1.0,1
55,15efae76-7fac-cf27-f68d-7e0515d78e8e,08000578,CLI-002,B60123456,20231220,20231221.0,TANCADA,SENSOR,URGENT,2023-12-20 18:58:00+00:00,2023-12-20 19:56:24.331404+00:00,2023-12-21 03:18:01.868778+00:00,2023-12-21 03:18:01.868778+00:00,2023-12-21 18:58:00+00:00,1,162.9,162.9,94.48,68.42,1,2.35,8.333852438333333,8.333852438333333,24,False,True,True,False,True,1.0,1
56,ecde4c21-84c8-3a36-9442-e86bf6189c04,08000578,FON-002,B60123456,20240129,20240202.0,TANCADA,SENSOR,NORMAL,2024-01-29 10:12:00+00:00,2024-01-29 15:58:51.025305+00:00,2024-02-02 01:23:05.519441+00:00,2024-02-02 01:23:05.519441+00:00,2024-02-03 10:12:00+00:00,1,113.71,113.71,65.95,47.76,1,7.48,87.18486651138889,87.18486651138889,120,False,False,True,False,True,1.0,1
57,63cce3b1-b90d-63ab-526f-d069025d69c8,08000578,EST-001,B60123456,20241129,20241129.0,TANCADA,TELEFON,URGENT,2024-11-29 12:56:00+00:00,2024-11-29 18:13:33.251214+00:00,2024-11-29 18:35:59.440610+00:00,2024-11-29 18:35:59.440610+00:00,2024-11-30 12:56:00+00:00,1,1420.89,1420.89,824.12,596.77,1,3.49,5.6665112805555555,5.6665112805555555,24,True,True,True,False,True,1.0,1
58,00605285-a4a0-6199-4563-cca484107763,08000578,FON-005,B60123456,20230920,20230922.0,TANCADA,WEB,NORMAL,2023-09-20 10:06:00+00:00,2023-09-20 12:51:41.083779+00:00,2023-09-22 12:01:38.004276+00:00,2023-09-22 12:01:38.004276+00:00,2023-09-25 10:06:00+00:00,1,263.11,263.11,152.6,110.51,1,1.49,49.92722341,49.92722341,120,False,False,True,False,True,1.0,1
62,f45eade8-8d01-2a41-ab85-89031b1bb8a8,08000578,FON-003,B60123456,20241120,20241124.0,RESOLTA,TELEFON,NORMAL,2024-11-20 12:14:00+00:00,2024-11-20 16:41:45.246294+00:00,2024-11-24 20:35:05.182598+00:00,2024-11-24 20:35:05.182598+00:00,2024-11-25 12:14:00+00:00,1,85.44,85.44,49.56,35.88,1,8.15,104.35143961055556,104.35143961055556,120,False,False,True,False,True,1.0,1
63,8e61ff2e-b368-c45f-ee1b-e13b8c4f1d96,08000578,FON-003,B60123456,20260630,20260704.0,TANCADA,INSPECCIO,NORMAL,2026-06-30 11:15:00+00:00,2026-06-30 11:31:15.689502+00:00,2026-07-04 17:08:51.510460+00:00,2026-07-04 17:08:51.510460+00:00,2026-07-05 11:15:00+00:00,1,44.91,44.91,26.05,18.86,1,8.09,101.89764179444444,101.89764179444444,120,False,False,True,False,True,1.0,1
65,fcc0605b-af90-610b-42bf-41e749b73638,08000578,EST-002,B60123456,20251114,20251115.0,RESOLTA,TELEFON,NORMAL,2025-11-14 09:08:00+00:00,2025-11-14 11:05:46.690201+00:00,2025-11-15 11:11:42.833331+00:00,2025-11-15 11:11:42.833331+00:00,2025-11-19 09:08:00+00:00,1,1837.63,1837.63,1065.83,771.8,1,6.89,26.0618981475,26.0618981475,120,False,False,True,False,True,1.0,1
67,7f3a3b0d-ae01-3c8f-7db7-030b5d30bcb8,08000578,FON-002,B60123456,20250207,20250218.0,RESOLTA,TELEFON,NORMAL,2025-02-07 18:44:00+00:00,2025-02-07 20:26:04.473092+00:00,2025-02-18 14:22:30.758348+00:00,2025-02-18 14:22:30.758348+00:00,2025-02-12 18:44:00+00:00,1,96.14,96.14,55.76,40.38,1,0.89,259.6418773188889,259.6418773188889,120,False,False,False,False,True,0.0,1
68,6fb6e178-4acd-4c5a-63b1-f81b38853d1e,08000578,CLI-002,B60123456,20260221,20260221.0,TANCADA,INSPECCIO,URGENT,2026-02-21 11:14:00+00:00,2026-02-21 16:23:12.679107+00:00,2026-02-21 20:59:45.523547+00:00,2026-04-11 09:32:34.447295+00:00,2026-02-22 11:14:00+00:00,1,161.84,218.48,126.72,91.76,2,10.37,9.762645429722221,1174.3095686930556,24,False,True,True,True,True,1.0,1
69,61d98744-d3a7-3c9b-6b35-955b0d08e16e,08000578,EST-002,B60123456,20241203,20241208.0,TANCADA,WEB,NORMAL,2024-12-03 18:41:00+00:00,2024-12-03 22:56:21.642404+00:00,2024-12-08 06:35:09.843977+00:00,2024-12-08 06:35:09.843977+00:00,2024-12-08 18:41:00+00:00,1,1215.93,1215.93,705.24,510.69,1,3.09,107.90273443805556,107.90273443805556,120,False,False,True,False,True,1.0,1
71,b0d185e5-c42d-7344-5053-2267208ae517,08000578,FON-003,B60123456,20260303,20260307.0,TANCADA,TELEFON,NORMAL,2026-03-03 10:30:00+00:00,2026-03-03 16:29:49.938141+00:00,2026-03-07 11:05:54.940118+00:00,2026-03-07 11:05:54.940118+00:00,2026-03-08 10:30:00+00:00,1,160.06,160.06,92.83,67.23,1,7.62,96.59859447722222,96.59859447722222,120,False,False,True,False,True,1.0,1
72,c560f74d-5b59-9602-9acc-c87fd7ac17b7,08000578,FON-003,B60123456,20230915,20230916.0,TANCADA,TELEFON,NORMAL,2023-09-15 17:06:00+00:00,2023-09-15 22:19:21.956913+00:00,2023-09-16 06:40:01.092408+00:00,2023-09-16 06:40:01.092408+00:00,2023-09-20 17:06:00+00:00,1,122.67,122.67,71.15,51.52,1,6.84,13.566970113333333,13.566970113333333,120,False,False,True,False,True,1.0,1
73,85c99603-ebc0-8b6d-5bf0-179eeb813503,08000578,CLI-001,B60123456,20250129,20250130.0,TANCADA,INSPECCIO,URGENT,2025-01-29 08:06:00+00:00,2025-01-29 09:43:13.239484+00:00,2025-01-30 04:41:16.578793+00:00,2025-03-16 05:41:43.203787+00:00,2025-01-30 08:06:00+00:00,1,842.29,1137.09,659.51,477.58,2,15.75,20.58793855361111,1101.5953343852777,24,False,True,True,True,True,1.0,1
74,6e2c9a73-2d56-4e43-ee56-667d4c863e1f,08000578,FON-002,B60123456,20250616,20250616.0,TANCADA,WEB,NORMAL,2025-06-16 13:34:00+00:00,2025-06-16 18:52:32.075563+00:00,2025-06-16 21:45:42.595070+00:00,2025-06-16 21:45:42.595070+00:00,2025-06-21 13:34:00+00:00,1,185.71,185.71,107.71,78.0,1,0.95,8.195165297222221,8.195165297222221,120,False,False,True,False,True,1.0,1
76,106756b7-501f-2fe2-67b4-9a5320dcc222,08000578,FUS-002,B60123456,20250903,20250908.0,TANCADA,SENSOR,NORMAL,2025-09-03 13:31:00+00:00,2025-09-03 18:17:14.359424+00:00,2025-09-08 08:36:46.231281+00:00,2025-09-08 08:36:46.231281+00:00,2025-09-08 13:31:00+00:00,1,151.54,151.54,87.89,63.65,1,5.98,115.09617535583334,115.09617535583334,120,False,False,True,False,True,1.0,1
77,c0181c7b-d8cf-616f-4fdd-40a49582dcae,08000578,CLI-002,B60123456,20240507,20240511.0,TANCADA,TELEFON,NORMAL,2024-05-07 15:42:00+00:00,2024-05-07 18:01:53.574245+00:00,2024-05-11 21:13:38.501299+00:00,2024-05-11 21:13:38.501299+00:00,2024-05-12 15:42:00+00:00,1,192.76,192.76,111.8,80.96,1,4.74,101.52736147194445,101.52736147194445,120,False,False,True,False,True,1.0,1
79,602c22ea-b033-ee3b-89a6-a84c0d4b7d9f,08000578,EST-001,B60123456,20250110,20250111.0,TANCADA,INSPECCIO,URGENT,2025-01-10 14:27:00+00:00,2025-01-10 16:16:14.706630+00:00,2025-01-11 01:56:37.594783+00:00,2025-01-20 11:38:53.474993+00:00,2025-01-11 14:27:00+00:00,1,1583.05,2137.12,1239.53,897.59,2,9.98,11.49377632861111,237.19818749805555,24,True,False,True,True,True,1.0,1
81,085fbe24-baf9-7cc0-f315-8712b03df493,08000578,EST-001,B60123456,20260209,20260210.0,TANCADA,SENSOR,URGENT,2026-02-09 13:37:00+00:00,2026-02-09 14:33:59.977185+00:00,2026-02-10 00:14:22.948507+00:00,2026-03-05 06:16:01.027587+00:00,2026-02-10 13:37:00+00:00,1,1678.94,2266.56,1314.61,951.95,2,15.14,10.623041251944445,568.6502854408334,24,True,False,True,True,True,1.0,1
83,5e138899-7842-f4e8-9380-f97ac1d33670,08000578,CLI-002,B60123456,20231124,20231127.0,TANCADA,TELEFON,NORMAL,2023-11-24 11:05:00+00:00,2023-11-24 11:22:51.329741+00:00,2023-11-27 22:25:19.160148+00:00,2023-11-27 22:25:19.160148+00:00,2023-11-29 11:05:00+00:00,1,169.6,169.6,98.37,71.23,1,5.43,83.33865559666667,83.33865559666667,120,False,False,True,False,True,1.0,1
86,6f2a8459-ea18-f35f-0026-9fc900beb853,08000578,FON-005,B60123456,20241011,20241011.0,TANCADA,WEB,URGENT,2024-10-11 07:23:00+00:00,2024-10-11 10:12:39.185266+00:00,2024-10-11 19:59:51.699581+00:00,2024-10-11 19:59:51.699581+00:00,2024-10-12 07:23:00+00:00,1,132.9,132.9,77.08,55.82,1,1.99,12.614360994722222,12.614360994722222,24,False,True,True,False,True,1.0,1
89,a5c546bc-f970-d503-4f50-63a5ce5b7adc,08000578,ELE-004,B60123456,20240223,20240304.0,TANCADA,WEB,NORMAL,2024-02-23 08:07:00+00:00,2024-02-23 08:30:37.443429+00:00,2024-03-04 20:30:27.781203+00:00,2024-03-04 20:30:27.781203+00:00,2024-02-28 08:07:00+00:00,1,92.87,92.87,53.86,39.01,1,5.63,252.39105033416666,252.39105033416666,120,False,False,False,False,True,0.0,1
91,0eeac458-c17a-dffe-858d-8fd50da8f55e,08000578,FUS-002,B60123456,20260630,20260701.0,TANCADA,WEB,NORMAL,2026-06-30 08:43:00+00:00,2026-06-30 11:20:18.240126+00:00,2026-07-01 12:05:48.778811+00:00,2026-07-01 12:05:48.778811+00:00,2026-07-05 08:43:00+00:00,1,505.33,505.33,293.09,212.24,1,8.59,27.380216336388887,27.380216336388887,120,False,False,True,False,True,1.0,1
92,a683d95e-7616-d115-3970-63165c402353,08000578,ELE-004,B60123456,20241105,20241106.0,TANCADA,WEB,NORMAL,2024-11-05 10:08:00+00:00,2024-11-05 10:59:05.766086+00:00,2024-11-06 12:43:15.291310+00:00,2024-11-06 12:43:15.291310+00:00,2024-11-10 10:08:00+00:00,1,132.27,132.27,76.72,55.55,1,8.41,26.587580919444445,26.587580919444445,120,False,False,True,False,True,1.0,1
93,567b5f24-18a8-f739-aefd-616b44700480,08000578,FON-003,B60123456,20240918,20240921.0,TANCADA,TELEFON,NORMAL,2024-09-18 10:31:00+00:00,2024-09-18 14:00:24.343194+00:00,2024-09-21 20:33:05.948292+00:00,2024-09-21 20:33:05.948292+00:00,2024-09-23 10:31:00+00:00,1,187.23,187.23,108.59,78.64,1,6.44,82.03498563666666,82.03498563666666,120,False,False,True,False,True,1.0,1
95,f8d95785-86a4-8df2-3980-e86817712c5c,08000578,FON-002,B60123456,20250528,20250529.0,TANCADA,WEB,NORMAL,2025-05-28 12:19:00+00:00,2025-05-28 17:53:20.795744+00:00,2025-05-29 04:03:38.908134+00:00,2025-05-29 04:03:38.908134+00:00,2025-06-02 12:19:00+00:00,1,302.11,302.11,175.22,126.89,1,1.84,15.744141148333334,15.744141148333334,120,False,False,True,False,True,1.0,1
97,4d63e48c-102f-7755-98e2-18394cf7452b,08000578,EST-001,B60123456,20251112,20251113.0,TANCADA,TELEFON,URGENT,2025-11-12 16:53:00+00:00,2025-11-12 21:26:24.536927+00:00,2025-11-13 07:33:30.288784+00:00,2025-11-13 07:33:30.288784+00:00,2025-11-13 16:53:00+00:00,1,1694.38,1694.38,982.74,711.64,1,6.93,14.675080217777777,14.675080217777777,24,True,False,True,False,True,1.0,1
98,550bc8e1-7189-3f90-fe6a-64a5af895e11,08000578,CLI-003,B60123456,20260502,20260502.0,TANCADA,TELEFON,URGENT,2026-05-02 08:18:00+00:00,2026-05-02 12:32:30.646634+00:00,2026-05-02 22:29:59.192708+00:00,2026-05-02 22:29:59.192708+00:00,2026-05-03 08:18:00+00:00,1,362.0,362.0,209.96,152.04,1,3.26,14.199775752222223,14.199775752222223,24,False,True,True,False,True,1.0,1
100,80378b55-2b22-fb2c-51e6-b9c71a3d8e93,08000578,EST-002,B60123456,20231219,20231222.0,RESOLTA,TELEFON,NORMAL,2023-12-19 17:37:00+00:00,2023-12-19 19:55:55.931564+00:00,2023-12-22 12:04:16.044741+00:00,2023-12-22 12:04:16.044741+00:00,2023-12-24 17:37:00+00:00,1,732.83,732.83,425.04,307.79,1,1.63,66.4544568725,66.4544568725,120,False,False,True,False,True,1.0,1
102,0ca040cd-5790-f60d-3cb8-331456975301,08000578,ELE-003,B60123456,20251218,20251222.0,TANCADA,TELEFON,NORMAL,2025-12-18 07:42:00+00:00,2025-12-18 09:44:15.934191+00:00,2025-12-22 03:54:27.000596+00:00,2025-12-22 03:54:27.000596+00:00,2025-12-23 07:42:00+00:00,1,439.36,439.36,254.83,184.53,1,1.59,92.20750016555556,92.20750016555556,120,False,False,True,False,True,1.0,1
103,afffdd16-3a93-cde6-9ef9-fa8363024299,08000578,ELE-001,B60123456,20231228,20231229.0,TANCADA,WEB,URGENT,2023-12-28 07:15:00+00:00,2023-12-28 11:42:45.611899+00:00,2023-12-29 03:31:52.213074+00:00,2024-02-15 01:37:39.697723+00:00,2023-12-29 07:15:00+00:00,1,184.44,248.99,144.42,104.57,2,15.27,20.281170298333333,1170.3776938119445,24,False,True,True,True,True,1.0,1
108,1373d911-a5d3-f945-c62f-c224d405d40f,08000578,FUS-001,B60123456,20241125,20241128.0,TANCADA,TELEFON,NORMAL,2024-11-25 07:07:00+00:00,2024-11-25 09:40:30.583443+00:00,2024-11-28 05:36:55.003734+00:00,2024-11-28 05:36:55.003734+00:00,2024-11-30 07:07:00+00:00,1,176.65,176.65,102.46,74.19,1,8.75,70.49861214833334,70.49861214833334,120,False,False,True,False,True,1.0,1
