codi_centre,denominacio,tipus_centre,naturalesa,titularitat,num_ensenyaments,nom_municipi,nom_comarca,provincia,codi_ine,codi_comarca,adreca,codi_postal,latitud,longitud,te_infantil_1c,te_infantil_2c,te_primaria,te_eso,te_batxillerat,te_fp_mitja,te_fp_superior,te_adults,te_especial,any_construccio,antiguitat_anys,superficie_m2,num_alumnes,tram_mida,estat_conservacio
08001480,EA Pau Gargallo,INSTITUT,Públic,Departament d'Educació i Formació Professional,1,Badalona,Barcelonès,Barcelona,080155,13,"parc Serentill, s/n",08915,41.45638,2.244743,False,False,False,False,True,False,False,False,False,,,,,,
08001509,Escola Antoni Botey,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Badalona,Barcelonès,Barcelona,080155,13,"av. Doctor Bassols, 77 A",08913,41.44043,2.221021,False,True,True,False,False,False,False,False,False,,,,,,
08001522,Escola Galceran de Pinós,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Bagà,Berguedà,Lleida,080168,14,"av. Reina Elisenda, 2",08695,42.25377,1.86275,False,True,True,False,False,False,False,False,False,,,,,,
08001649,Escola Mossèn Jacint Verdaguer,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Lleida, 32",08004,41.37336,2.154765,False,True,True,False,False,False,False,False,False,,,,,,
08001650,Escola El Polvorí,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"camí del Polvorí, 8-10",08038,41.36324,2.143079,False,True,True,False,False,False,False,False,False,,,,,,
08001674,Escola Can Clos,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Pedrera del Mussol, 10-14",08038,41.36075,2.14755,False,True,True,False,False,False,False,False,False,,,,,,
08001777,Escola Ramon Llull,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"av. Diagonal, 275",08013,41.4008,2.177784,False,True,True,False,False,False,False,False,False,,,,,,
08001789,Escola Cervantes,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Sant Pere Més Baix, 31",08003,41.3872,2.177385,False,True,True,False,False,False,False,False,False,,,,,,
08001790,Escola Pere Vila,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"pg. Lluís Companys, 18",08018,41.39127,2.181296,False,True,True,False,False,False,False,False,False,,,,,,
08001807,Escola de la Concepció,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Bruc, 102",08009,41.39557,2.168327,False,True,True,False,False,False,False,False,False,,,,,,
08001819,Escola Collaso i Gil,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Sant Pau, 101",08001,41.37619,2.168983,False,True,True,False,False,False,False,False,False,,,,,,
08001820,Escola Milà i Fontanals,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Àngels, s/n",08001,41.38169,2.168588,False,True,True,False,False,False,False,False,False,,,,,,
08001832,Escola Castella,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"pl. Castella, 8",08001,41.38494,2.164591,False,True,True,False,False,False,False,False,False,,,,,,
08001868,Escola Rubén Darío,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"rda. Sant Pau, 38",08001,41.3769,2.165736,False,True,True,False,False,False,False,False,False,,,,,,
08001947,Escola Mallorca,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Londres, 64",08036,41.39137,2.148295,False,True,True,False,False,False,False,False,False,,,,,,
08002009,Escola Francesc Macià,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"pl. Espanya, 2-3",08014,41.37462,2.14792,False,True,True,False,False,False,False,False,False,,,,,,
08002010,Escola Lluís Vives,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Canalejas, 107",08028,41.37182,2.128044,False,True,True,False,False,False,False,False,False,,,,,,
08002022,Escola Cal Maiol,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Sagunt, 92-94",08014,41.37278,2.135812,False,True,True,False,False,False,False,False,False,,,,,,
08002061,Escola Jaume I,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Melcior de Palau, 134-136",08014,41.38099,2.138118,False,True,True,False,False,False,False,False,False,,,,,,
08002071,Escola Gayarre,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Gayarre, 54-56",08014,41.37311,2.140406,False,True,True,False,False,False,False,False,False,,,,,,
08002113,Escola Rius i Taulet,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"pl. de Ferran Lesseps, 19",08023,41.40786,2.150266,False,True,True,False,False,False,False,False,False,,,,,,
08002186,Escola Mare de Déu de Montserrat,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Natzaret, 83-85",08035,41.42593,2.135862,False,True,True,False,False,False,False,False,False,,,,,,
08002277,Escola Calderón de la Barca,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Orduña, s/n",08031,41.43366,2.17153,False,True,True,False,False,False,False,False,False,,,,,,
08002393,Escola L'Arc de Sant Martí,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Almacelles, 1-11",08020,41.42275,2.199745,False,True,True,False,False,False,False,False,False,,,,,,
08002484,Escola Marta Mata,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Casals i Cuberó, s/n",08042,41.44242,2.176558,False,True,True,False,False,False,False,False,False,,,,,,
08002526,Escola Tibidabo,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Joaquim Valls, 10(Barriada Roquetes)",08016,41.44253,2.18292,False,True,True,False,False,False,False,False,False,,,,,,
08002538,Escola Víctor Català,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Font d'en Canyelles, 35",08016,41.43971,2.176927,False,True,True,False,False,False,False,False,False,,,,,,
08002575,Escola La Pau,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Extremadura, 15",08020,41.42422,2.209354,False,True,True,False,False,False,False,False,False,,,,,,
08002599,Escola Eduard Marquina,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Jaume Huguet, 22",08019,41.41832,2.213974,False,True,True,False,False,False,False,False,False,,,,,,
08002630,Escola Els Porxos,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"pl. Eduard Torroja, 12-20",08020,41.41472,2.1983,False,True,True,False,False,False,False,False,False,,,,,,
08002666,CEE Concha Espina,EDUCACIO_ESPECIAL,Públic,Departament d'Educació i Formació Professional,1,Barcelona,Barcelonès,Barcelona,080193,13,"c. Prim, 121-123",08020,41.41852,2.208784,False,False,False,False,False,False,False,False,True,,,,,,
08002681,Escola Duran i Bas,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Vallespir, 198",08014,41.38519,2.133407,False,True,True,False,False,False,False,False,False,,,,,,
08002721,Escola Font d'en Fargas,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"pg. Font d'En Fargas, 65",08032,41.42269,2.16525,False,True,True,False,False,False,False,False,False,,,,,,
08002733,Escola Miralletes,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Indústria, 255",08041,41.41345,2.179223,False,True,True,False,False,False,False,False,False,,,,,,
08002745,Escola El Carmel,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Llobregós, 154",08032,41.4232,2.154071,False,True,True,False,False,False,False,False,False,,,,,,
08002770,Escola Àgora,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Marne, 2",08042,41.43762,2.168371,False,True,True,False,False,False,False,False,False,,,,,,
08002903,CEE El Nus,EDUCACIO_ESPECIAL,Públic,Departament d'Educació i Formació Professional,1,Barcelona,Barcelonès,Barcelona,080193,13,"av. Rasos de  Peguera, 234",08033,41.4601,2.169521,False,False,False,False,False,False,False,False,True,,,,,,
08002915,Escola Brasil,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,Gran Via de les Corts Catalanes 1108,08020,41.41633,2.205024,False,True,True,False,False,False,False,False,False,,,,,,
08002976,Escola Ramon Casas,ESCOLA,Públic,Departament d'Educació i Formació Professional,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. del Platí, 6",08038,41.35868,2.134328,False,True,True,False,False,False,False,False,False,,,,,,
08003041,Sagrada Família,ESCOLA,Privat,Fundacions,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Avinyó, 20",08002,41.38109,2.176736,True,True,True,False,False,False,False,False,False,,,,,,
08003361,Maristes Anna Ravell,INSTITUT,Privat,Fundacions,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Blasco de Garay, 52",08004,41.37207,2.1622,False,True,True,True,True,False,False,False,False,,,,,,
08003543,Salesià de Sant Josep,INSTITUT,Privat,Ordes i Congregacions Catòlics,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Rocafort, 42",08015,41.3771,2.1564,False,True,True,True,True,False,False,False,False,,,,,,
08003610,Jesús Maria Tamarit,LLAR_INFANTS,Privat,Ordes i Congregacions Catòlics,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Tamarit, 80",08004,41.37433,2.155436,True,True,False,False,False,False,False,False,False,,,,,,
08003658,Stucom Còrsega,ADULTS,Privat,Societats Mercantils,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Còrsega, 409",08037,41.38613,2.139045,False,False,False,False,True,True,True,True,False,,,,,,
08003671,JesuÏtes Poble Sec - Sant Pere Claver,ESCOLA,Privat,Fundacions,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Vila Vilà, 14",08004,41.3729,2.173431,False,True,True,False,False,False,False,False,False,,,,,,
08003701,Alfageme,ESCOLA,Privat,Societats Mercantils,2,Barcelona,Barcelonès,Barcelona,080193,13,"pg. Zona Franca, 198",08038,41.361,2.13855,False,True,True,False,False,False,False,False,False,,,,,,
08003774,Lexia,EDUCACIO_ESPECIAL,Privat,Societats Mercantils,1,Barcelona,Barcelonès,Barcelona,080193,13,"c. Gomis, 102-104",08023,41.41416,2.139117,False,False,False,False,False,False,False,False,True,,,,,,
08003907,La Salle Bonanova,INSTITUT,Privat,Ordes i Congregacions Catòlics,4,Barcelona,Barcelonès,Barcelona,080193,13,"pg. de la Bonanova, 8",08022,41.406,2.132376,False,True,True,True,True,False,False,False,False,,,,,,
08004031,Sant Marc de Sarrià,INSTITUT,Privat,Societats Mercantils,6,Barcelona,Barcelonès,Barcelona,080193,13,"c. Carrasco i Formiguera, 6-16",08017,41.40179,2.12272,True,True,True,True,True,False,True,False,False,,,,,,
08004067,Jesuïtes Sarrià - Sant Ignasi,INSTITUT,Privat,Fundacions,7,Barcelona,Barcelonès,Barcelona,080193,13,"c. Carrasco i Formiguera, 32",08017,41.40293,2.121492,True,True,True,True,True,True,True,False,False,,,,,,
08004122,Sagrado Corazón,INSTITUT,Privat,Ordes i Congregacions Catòlics,5,Barcelona,Barcelonès,Barcelona,080193,13,"c. Eduard Conde, 17-23",08034,41.39296,2.121163,True,True,True,True,True,False,False,False,False,,,,,,
08004195,Galí Bellesguard,INSTITUT,Privat,Fundacions,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Carles Riba, 11-15",08035,41.41241,2.125168,False,True,True,True,True,False,False,False,False,,,,,,
08004286,Escola Pia de Sarrià-Calassanç,INSTITUT,Privat,Ordes i Congregacions Catòlics,6,Barcelona,Barcelonès,Barcelona,080193,13,"c. Immaculada, 25-35",08017,41.4069,2.124686,False,True,True,True,True,True,True,False,False,,,,,,
08004389,Escola Reina Violant,ESCOLA,Públic,Corporacions Locals,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Trilla, 18",08012,41.40412,2.153018,False,True,True,False,False,False,False,False,False,,,,,,
08004432,Istituto Italiano Statale c.sc.el.e.sec. I e II gr,ALTRES,Privat,Altres estats UE,0,Barcelona,Barcelonès,Barcelona,080193,13,"ptge. Méndez Vigo, 5-8",08009,41.40399,2.12671,False,False,False,False,False,False,False,False,False,,,,,,
08004559,Abat Oliba-Loreto,INSTITUT,Privat,Fundacions,5,Barcelona,Barcelonès,Barcelona,080193,13,"av. Pearson, 22-26",08034,41.39347,2.107025,True,True,True,True,True,False,False,False,False,,,,,,
08004705,Reial Monestir de Santa Isabel,INSTITUT,Privat,Ordes i Congregacions Catòlics,5,Barcelona,Barcelonès,Barcelona,080193,13,"c. Cardenal Setmenat, 1-5",08017,41.39749,2.125783,True,True,True,True,True,False,False,False,False,,,,,,
08004808,Casa del Roure,INSTITUT,Privat,Fundacions,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Sant Pere  Claver, 12-18",08017,41.4066,2.117003,False,False,False,True,True,False,False,False,False,,,,,,
08004869,Peter Pan,ESCOLA,Privat,Fundacions,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Immaculada, 4",08017,41.40511,2.121523,True,True,True,False,False,False,False,False,False,,,,,,
08005102,La Salle Comtal,INSTITUT,Privat,Ordes i Congregacions Catòlics,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Amadeu Vives, 6",08003,41.38795,2.175221,False,True,True,True,False,False,False,False,False,,,,,,
08005266,Sagrat Cor-Diputació,INSTITUT,Privat,Fundacions,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Diputació, 326",08009,41.39528,2.17374,False,True,True,True,True,False,False,False,False,,,,,,
08005370,Jesuïtes Gràcia - Kostka,INSTITUT,Privat,Fundacions,5,Barcelona,Barcelonès,Barcelona,080193,13,"c. Antequera, 2-4",08024,41.41425,2.1573,True,True,True,True,True,False,False,False,False,,,,,,
08005382,Escolàpies Llúria-Barcelona,INSTITUT,Privat,Fundacions,5,Barcelona,Barcelonès,Barcelona,080193,13,"c. Roger de Llúria, 64",08009,41.39374,2.168282,True,True,True,True,True,False,False,False,False,,,,,,
08005394,Lestonnac,INSTITUT,Privat,Ordes i Congregacions Catòlics,5,Barcelona,Barcelonès,Barcelona,080193,13,"c. Pau Claris, 131",08009,41.39292,2.16667,True,True,True,True,True,False,False,False,False,,,,,,
08005400,Santa Claus,ESCOLA,Privat,Societats Mercantils,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Lleó XIII, 12",08022,41.41191,2.137335,False,True,True,False,False,False,False,False,False,,,,,,
08005412,Lleó XIII,INSTITUT,Privat,Societats Mercantils,6,Barcelona,Barcelonès,Barcelona,080193,13,"c. Lleó XIII, 16-18-20",08022,41.41248,2.13708,True,True,True,True,True,False,True,False,False,,,,,,
08005436,Dominiques Barcelona,INSTITUT,Privat,Fundacions,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Mallorca, 349",08013,41.40069,2.171482,False,True,True,True,True,False,False,False,False,,,,,,
08005473,San Nicolás,INSTITUT,Privat,Societats Mercantils,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Provença, 283",08037,41.39643,2.163557,False,True,True,True,True,False,False,False,False,,,,,,
08005761,IPSE,INSTITUT,Privat,Església Catòlica,5,Barcelona,Barcelonès,Barcelona,080193,13,"c. Casanova, 175",08036,41.39197,2.149867,True,True,True,True,True,False,False,False,False,,,,,,
08006052,FEP Sant Josep Oriol,ESCOLA,Privat,Fundacions,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Villarroel, 85",08011,41.38443,2.157587,False,True,True,False,False,False,False,False,False,,,,,,
08006209,FEP Sant Medir,INSTITUT,Privat,Fundacions,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Constitució, 15",08014,41.3699,2.137869,False,True,True,True,False,False,False,False,False,,,,,,
08006477,Lloret,ESCOLA,Privat,Societats Mercantils,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Sants, 99",08014,41.37529,2.135663,True,True,True,False,False,False,False,False,False,,,,,,
08006751,Virolai,INSTITUT,Privat,Societats Mercantils,6,Barcelona,Barcelonès,Barcelona,080193,13,"c. Ceuta, s/n",08032,41.4183,2.151764,True,True,True,True,True,False,True,False,False,,,,,,
08006908,Vedruna Gràcia Barcelona,INSTITUT,Privat,Fundacions,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Gran de Gràcia, 228-240",08012,41.4046,2.15157,False,True,True,True,True,False,False,False,False,,,,,,
08006945,Acis-Artur Martorell,INSTITUT,Privat,Fundacions,3,Barcelona,Barcelonès,Barcelona,080193,13,"pl. Can Baró, 1-3",08024,41.4166,2.162278,False,True,True,True,False,False,False,False,False,,,,,,
08006994,Sant Josep-Teresianes,INSTITUT,Privat,Fundacions,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Nàpols, 359/Trav Gracia, 256-262",08025,41.40581,2.16538,False,True,True,True,True,False,False,False,False,,,,,,
08007445,Escola Pia Luz Casanova,INSTITUT,Privat,Ordes i Congregacions Catòlics,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Almansa, 52-54",08042,41.44311,2.175233,False,True,True,True,False,False,False,False,False,,,,,,
08007469,FEDAC-Amilcar,INSTITUT,Privat,Fundacions,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Amílcar, 10",08031,41.42977,2.171925,False,True,True,True,True,False,False,False,False,,,,,,
08007482,Sant Lluís,INSTITUT,Privat,Societats Mercantils,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Arítjols, 12-14",08016,41.44201,2.182021,False,True,True,True,False,False,False,False,False,,,,,,
08007494,Sagrada Família,INSTITUT,Privat,Fundacions,4,Barcelona,Barcelonès,Barcelona,080193,13,"c. Arquímedes, 60-68",08030,41.4388,2.18658,False,True,True,True,True,False,False,False,False,,,,,,
08007524,Prínceps 23 d'Abril,ESCOLA,Privat,Cooperatives,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Artesania, 38",08031,41.44001,2.17424,True,True,True,False,False,False,False,False,False,,,,,,
08007603,Arrels,INSTITUT,Privat,Fundacions,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Cardenal Tedeschini, 70",08027,41.42653,2.18115,False,True,True,True,False,False,False,False,False,,,,,,
08007721,Jesús Maria Sant Andreu,INSTITUT,Privat,Ordes i Congregacions Catòlics,4,Barcelona,Barcelonès,Barcelona,080193,13,"av. Meridiana, 392-406",08030,41.4313,2.183607,False,True,True,True,True,False,False,False,False,,,,,,
08007871,Sant Ferran,INSTITUT,Privat,Societats Mercantils,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Joan Riera, 46",08042,41.44251,2.175318,False,True,True,True,False,False,False,False,False,,,,,,
08008012,San Rafael,ESCOLA,Privat,Societats Mercantils,2,Barcelona,Barcelonès,Barcelona,080193,13,"c. Menorca, 80-82",08020,41.42091,2.198928,False,True,True,False,False,False,False,False,False,,,,,,
08008191,Santa Maria dels Apòstols,INSTITUT,Privat,Ordes i Congregacions Catòlics,5,Barcelona,Barcelonès,Barcelona,080193,13,"c. Pere IV, 562/rbla. Prim, 146-152",08019,41.41836,2.210447,False,False,True,True,True,True,True,False,False,,,,,,
08008279,FEDAC-Sant Andreu,INSTITUT,Privat,Fundacions,3,Barcelona,Barcelonès,Barcelona,080193,13,"c. Ramon Batlle, 39-45",08030,41.43207,2.191689,False,True,True,True,False,False,False,False,False,,,,,,
08008309,FEP Mare Alfonsa Cavín,INSTITUT,Privat,Fundacions,3,Barcelona,Barcelonès,Barcelona,080193,13,"av. Rasos de Peguera, 57 bis",08033,41.46041,2.175342,False,True,True,True,False,False,False,False,False,,,,,,
