id_certificacio,id_projecte,codi_projecte,codi_centre,id_data_certificacio,denominacio_projecte,tipologia,estat_projecte,any_inici,any_previst_fi,num_certificacio,data_certificacio,exercici,import_certificat,import_previst,import_previst_prorratejat,num_certificacions
72,25,PI-2025-0024,08072899,20250218,Reforma a centre 08072899,REFORMA,FINALITZAT,2025,2027,1,2025-02-18,2025,18340.89,149473.23,24912.21,1
73,25,PI-2025-0024,08072899,20261029,Reforma a centre 08072899,REFORMA,FINALITZAT,2025,2027,2,2026-10-29,2026,19463.29,149473.23,24912.21,1
74,25,PI-2025-0024,08072899,20260908,Reforma a centre 08072899,REFORMA,FINALITZAT,2025,2027,3,2026-09-08,2026,22545.15,149473.23,24912.21,1
75,25,PI-2025-0024,08072899,20260912,Reforma a centre 08072899,REFORMA,FINALITZAT,2025,2027,4,2026-09-12,2026,15511.13,149473.23,24912.21,1
76,25,PI-2025-0024,08072899,20251011,Reforma a centre 08072899,REFORMA,FINALITZAT,2025,2027,5,2025-10-11,2025,53065.26,149473.23,24912.21,1
77,25,PI-2025-0024,08072899,20250701,Reforma a centre 08072899,REFORMA,FINALITZAT,2025,2027,6,2025-07-01,2025,23133.77,149473.23,24912.21,1
78,26,PI-2024-0025,08004523,20260213,Accessibilitat a centre 08004523,ACCESSIBILITAT,FINALITZAT,2024,2025,1,2026-02-13,2026,2096.92,60597.24,12119.45,1
79,26,PI-2024-0025,08004523,20260608,Accessibilitat a centre 08004523,ACCESSIBILITAT,FINALITZAT,2024,2025,2,2026-06-08,2026,34182.44,60597.24,12119.45,1
80,26,PI-2024-0025,08004523,20260119,Accessibilitat a centre 08004523,ACCESSIBILITAT,FINALITZAT,2024,2025,3,2026-01-19,2026,2403.76,60597.24,12119.45,1
81,26,PI-2024-0025,08004523,20240615,Accessibilitat a centre 08004523,ACCESSIBILITAT,FINALITZAT,2024,2025,4,2024-06-15,2024,326.68,60597.24,12119.45,1
82,26,PI-2024-0025,08004523,20250507,Accessibilitat a centre 08004523,ACCESSIBILITAT,FINALITZAT,2024,2025,5,2025-05-07,2025,19154.73,60597.24,12119.45,1
83,27,PI-2023-0026,08027754,20240719,Eficiencia energetica a centre 08027754,EFICIENCIA_ENERGETICA,ADJUDICAT,2023,2025,1,2024-07-19,2024,6754.65,326034.77,163017.39,1
84,27,PI-2023-0026,08027754,20240124,Eficiencia energetica a centre 08027754,EFICIENCIA_ENERGETICA,ADJUDICAT,2023,2025,2,2024-01-24,2024,12807.44,326034.77,163017.39,1
85,28,PI-2025-0027,08044053,20270615,Ampliacio a centre 08044053,AMPLIACIO,EN_EXECUCIO,2025,2027,1,2027-06-15,2027,11444.25,422989.69,84597.94,1
86,28,PI-2025-0027,08044053,20260611,Ampliacio a centre 08044053,AMPLIACIO,EN_EXECUCIO,2025,2027,2,2026-06-11,2026,32419.03,422989.69,84597.94,1
87,28,PI-2025-0027,08044053,20270119,Ampliacio a centre 08044053,AMPLIACIO,EN_EXECUCIO,2025,2027,3,2027-01-19,2027,78185.64,422989.69,84597.94,1
88,28,PI-2025-0027,08044053,20261117,Ampliacio a centre 08044053,AMPLIACIO,EN_EXECUCIO,2025,2027,4,2026-11-17,2026,1079.09,422989.69,84597.94,1
89,28,PI-2025-0027,08044053,20260624,Ampliacio a centre 08044053,AMPLIACIO,EN_EXECUCIO,2025,2027,5,2026-06-24,2026,28698.49,422989.69,84597.94,1
90,29,PI-2025-0028,08046360,20250605,Retirada amiant a centre 08046360,RETIRADA_AMIANT,EN_EXECUCIO,2025,2028,1,2025-06-05,2025,77521.41,189546.83,94773.42,1
91,29,PI-2025-0028,08046360,20260301,Retirada amiant a centre 08046360,RETIRADA_AMIANT,EN_EXECUCIO,2025,2028,2,2026-03-01,2026,24859.08,189546.83,94773.42,1
92,32,PI-2024-0031,08044326,20241021,Accessibilitat a centre 08044326,ACCESSIBILITAT,EN_EXECUCIO,2024,2027,1,2024-10-21,2024,17436.28,126282.54,21047.09,1
93,32,PI-2024-0031,08044326,20240726,Accessibilitat a centre 08044326,ACCESSIBILITAT,EN_EXECUCIO,2024,2027,2,2024-07-26,2024,255.65,126282.54,21047.09,1
94,32,PI-2024-0031,08044326,20241006,Accessibilitat a centre 08044326,ACCESSIBILITAT,EN_EXECUCIO,2024,2027,3,2024-10-06,2024,530.79,126282.54,21047.09,1
95,32,PI-2024-0031,08044326,20240305,Accessibilitat a centre 08044326,ACCESSIBILITAT,EN_EXECUCIO,2024,2027,4,2024-03-05,2024,1078.32,126282.54,21047.09,1
96,32,PI-2024-0031,08044326,20260521,Accessibilitat a centre 08044326,ACCESSIBILITAT,EN_EXECUCIO,2024,2027,5,2026-05-21,2026,6523.25,126282.54,21047.09,1
97,32,PI-2024-0031,08044326,20240309,Accessibilitat a centre 08044326,ACCESSIBILITAT,EN_EXECUCIO,2024,2027,6,2024-03-09,2024,9357.95,126282.54,21047.09,1
98,33,PI-2025-0032,08066516,20270522,Accessibilitat a centre 08066516,ACCESSIBILITAT,EN_EXECUCIO,2025,2027,1,2027-05-22,2027,15094.23,131628.32,21938.05,1
99,33,PI-2025-0032,08066516,20260527,Accessibilitat a centre 08066516,ACCESSIBILITAT,EN_EXECUCIO,2025,2027,2,2026-05-27,2026,4629.56,131628.32,21938.05,1
100,33,PI-2025-0032,08066516,20260909,Accessibilitat a centre 08066516,ACCESSIBILITAT,EN_EXECUCIO,2025,2027,3,2026-09-09,2026,1307.06,131628.32,21938.05,1
101,33,PI-2025-0032,08066516,20260319,Accessibilitat a centre 08066516,ACCESSIBILITAT,EN_EXECUCIO,2025,2027,4,2026-03-19,2026,12858.69,131628.32,21938.05,1
102,33,PI-2025-0032,08066516,20250325,Accessibilitat a centre 08066516,ACCESSIBILITAT,EN_EXECUCIO,2025,2027,5,2025-03-25,2025,12512.05,131628.32,21938.05,1
103,33,PI-2025-0032,08066516,20260830,Accessibilitat a centre 08066516,ACCESSIBILITAT,EN_EXECUCIO,2025,2027,6,2026-08-30,2026,6287.92,131628.32,21938.05,1
104,34,PI-2023-0033,08077940,20240904,Retirada amiant a centre 08077940,RETIRADA_AMIANT,FINALITZAT,2023,2024,1,2024-09-04,2024,133005.12,140025.12,70012.56,1
105,34,PI-2023-0033,08077940,20250609,Retirada amiant a centre 08077940,RETIRADA_AMIANT,FINALITZAT,2023,2024,2,2025-06-09,2025,2710.15,140025.12,70012.56,1
106,35,PI-2025-0034,08057965,20270305,Reforma a centre 08057965,REFORMA,FINALITZAT,2025,2027,1,2027-03-05,2027,73588.85,205205.47,34200.91,1
107,35,PI-2025-0034,08057965,20260625,Reforma a centre 08057965,REFORMA,FINALITZAT,2025,2027,2,2026-06-25,2026,16183.83,205205.47,34200.91,1
108,35,PI-2025-0034,08057965,20251115,Reforma a centre 08057965,REFORMA,FINALITZAT,2025,2027,3,2025-11-15,2025,25060.16,205205.47,34200.91,1
109,35,PI-2025-0034,08057965,20260807,Reforma a centre 08057965,REFORMA,FINALITZAT,2025,2027,4,2026-08-07,2026,9327.88,205205.47,34200.91,1
110,35,PI-2025-0034,08057965,20261120,Reforma a centre 08057965,REFORMA,FINALITZAT,2025,2027,5,2026-11-20,2026,8001.25,205205.47,34200.91,1
111,35,PI-2025-0034,08057965,20250531,Reforma a centre 08057965,REFORMA,FINALITZAT,2025,2027,6,2025-05-31,2025,73375.02,205205.47,34200.91,1
112,36,PI-2025-0035,08000943,20250514,Nova construccio a centre 08000943,NOVA_CONSTRUCCIO,FINALITZAT,2025,2027,1,2025-05-14,2025,249055.88,2319337.23,463867.45,1
113,36,PI-2025-0035,08000943,20250904,Nova construccio a centre 08000943,NOVA_CONSTRUCCIO,FINALITZAT,2025,2027,2,2025-09-04,2025,192908.32,2319337.23,463867.45,1
114,36,PI-2025-0035,08000943,20260916,Nova construccio a centre 08000943,NOVA_CONSTRUCCIO,FINALITZAT,2025,2027,3,2026-09-16,2026,356962.94,2319337.23,463867.45,1
115,36,PI-2025-0035,08000943,20270312,Nova construccio a centre 08000943,NOVA_CONSTRUCCIO,FINALITZAT,2025,2027,4,2027-03-12,2027,986215.04,2319337.23,463867.45,1
116,36,PI-2025-0035,08000943,20250315,Nova construccio a centre 08000943,NOVA_CONSTRUCCIO,FINALITZAT,2025,2027,5,2025-03-15,2025,547660.68,2319337.23,463867.45,1
117,38,PI-2026-0037,08049294,20261023,Eficiencia energetica a centre 08049294,EFICIENCIA_ENERGETICA,ADJUDICAT,2026,2029,1,2026-10-23,2026,5207.28,86787.97,86787.97,1
118,39,PI-2024-0038,08013202,20240629,Reforma a centre 08013202,REFORMA,EN_EXECUCIO,2024,2025,1,2024-06-29,2024,47189.72,182534.35,60844.78,1
119,39,PI-2024-0038,08013202,20260510,Reforma a centre 08013202,REFORMA,EN_EXECUCIO,2024,2025,2,2026-05-10,2026,23983.31,182534.35,60844.78,1
120,39,PI-2024-0038,08013202,20240706,Reforma a centre 08013202,REFORMA,EN_EXECUCIO,2024,2025,3,2024-07-06,2024,18749.32,182534.35,60844.78,1
121,40,PI-2026-0039,08043875,20260415,Ampliacio a centre 08043875,AMPLIACIO,ADJUDICAT,2026,2028,1,2026-04-15,2026,17153.52,926382.03,154397.01,1
122,40,PI-2026-0039,08043875,20260507,Ampliacio a centre 08043875,AMPLIACIO,ADJUDICAT,2026,2028,2,2026-05-07,2026,16336.85,926382.03,154397.01,1
123,40,PI-2026-0039,08043875,20270509,Ampliacio a centre 08043875,AMPLIACIO,ADJUDICAT,2026,2028,3,2027-05-09,2027,10508.23,926382.03,154397.01,1
124,40,PI-2026-0039,08043875,20280523,Ampliacio a centre 08043875,AMPLIACIO,ADJUDICAT,2026,2028,4,2028-05-23,2028,2639.56,926382.03,154397.01,1
125,40,PI-2026-0039,08043875,20271216,Ampliacio a centre 08043875,AMPLIACIO,ADJUDICAT,2026,2028,5,2027-12-16,2027,5351.41,926382.03,154397.01,1
126,40,PI-2026-0039,08043875,20270114,Ampliacio a centre 08043875,AMPLIACIO,ADJUDICAT,2026,2028,6,2027-01-14,2027,3593.35,926382.03,154397.01,1
127,41,PI-2026-0040,08002927,20261023,Ampliacio a centre 08002927,AMPLIACIO,FINALITZAT,2026,2028,1,2026-10-23,2026,40350.18,432011.51,108002.88,1
128,41,PI-2026-0040,08002927,20280511,Ampliacio a centre 08002927,AMPLIACIO,FINALITZAT,2026,2028,2,2028-05-11,2028,68249.95,432011.51,108002.88,1
129,41,PI-2026-0040,08002927,20260709,Ampliacio a centre 08002927,AMPLIACIO,FINALITZAT,2026,2028,3,2026-07-09,2026,94458.41,432011.51,108002.88,1
130,41,PI-2026-0040,08002927,20270122,Ampliacio a centre 08002927,AMPLIACIO,FINALITZAT,2026,2028,4,2027-01-22,2027,203601.7,432011.51,108002.88,1
131,42,PI-2026-0041,08045070,20270927,Reforma a centre 08045070,REFORMA,EN_EXECUCIO,2026,2027,1,2027-09-27,2027,69026.47,132173.15,132173.15,1
132,46,PI-2025-0045,08049464,20251224,Ampliacio a centre 08049464,AMPLIACIO,FINALITZAT,2025,2027,1,2025-12-24,2025,637735.74,685487.57,685487.57,1
133,49,PI-2025-0048,08043267,20260916,Reforma a centre 08043267,REFORMA,EN_EXECUCIO,2025,2027,1,2026-09-16,2026,16538.82,282352.99,47058.83,1
134,49,PI-2025-0048,08043267,20270223,Reforma a centre 08043267,REFORMA,EN_EXECUCIO,2025,2027,2,2027-02-23,2027,18912.41,282352.99,47058.83,1
135,49,PI-2025-0048,08043267,20270519,Reforma a centre 08043267,REFORMA,EN_EXECUCIO,2025,2027,3,2027-05-19,2027,10814.73,282352.99,47058.83,1
136,49,PI-2025-0048,08043267,20250207,Reforma a centre 08043267,REFORMA,EN_EXECUCIO,2025,2027,4,2025-02-07,2025,35090.65,282352.99,47058.83,1
137,49,PI-2025-0048,08043267,20261030,Reforma a centre 08043267,REFORMA,EN_EXECUCIO,2025,2027,5,2026-10-30,2026,27733.12,282352.99,47058.83,1
138,49,PI-2025-0048,08043267,20260915,Reforma a centre 08043267,REFORMA,EN_EXECUCIO,2025,2027,6,2026-09-15,2026,3192.59,282352.99,47058.83,1
139,50,PI-2024-0049,08051801,20250814,Retirada amiant a centre 08051801,RETIRADA_AMIANT,FINALITZAT,2024,2027,1,2025-08-14,2025,21533.34,138694.13,27738.83,1
140,50,PI-2024-0049,08051801,20260305,Retirada amiant a centre 08051801,RETIRADA_AMIANT,FINALITZAT,2024,2027,2,2026-03-05,2026,59727.82,138694.13,27738.83,1
141,50,PI-2024-0049,08051801,20241231,Retirada amiant a centre 08051801,RETIRADA_AMIANT,FINALITZAT,2024,2027,3,2024-12-31,2024,17215.87,138694.13,27738.83,1
142,50,PI-2024-0049,08051801,20250806,Retirada amiant a centre 08051801,RETIRADA_AMIANT,FINALITZAT,2024,2027,4,2025-08-06,2025,21692.41,138694.13,27738.83,1
143,50,PI-2024-0049,08051801,20260401,Retirada amiant a centre 08051801,RETIRADA_AMIANT,FINALITZAT,2024,2027,5,2026-04-01,2026,16910.44,138694.13,27738.83,1
144,51,PI-2025-0050,08054496,20250312,Reforma a centre 08054496,REFORMA,ADJUDICAT,2025,2027,1,2025-03-12,2025,864.55,130604.01,32651.0,1
145,51,PI-2025-0050,08054496,20270601,Reforma a centre 08054496,REFORMA,ADJUDICAT,2025,2027,2,2027-06-01,2027,1219.13,130604.01,32651.0,1
146,51,PI-2025-0050,08054496,20270216,Reforma a centre 08054496,REFORMA,ADJUDICAT,2025,2027,3,2027-02-16,2027,2032.69,130604.01,32651.0,1
147,51,PI-2025-0050,08054496,20270128,Reforma a centre 08054496,REFORMA,ADJUDICAT,2025,2027,4,2027-01-28,2027,3719.88,130604.01,32651.0,1
148,53,PI-2026-0052,08001030,20270908,Accessibilitat a centre 08001030,ACCESSIBILITAT,EN_EXECUCIO,2026,2029,1,2027-09-08,2027,1711.68,95495.2,19099.04,1
149,53,PI-2026-0052,08001030,20270916,Accessibilitat a centre 08001030,ACCESSIBILITAT,EN_EXECUCIO,2026,2029,2,2027-09-16,2027,5425.82,95495.2,19099.04,1
150,53,PI-2026-0052,08001030,20280414,Accessibilitat a centre 08001030,ACCESSIBILITAT,EN_EXECUCIO,2026,2029,3,2028-04-14,2028,23538.01,95495.2,19099.04,1
151,53,PI-2026-0052,08001030,20270824,Accessibilitat a centre 08001030,ACCESSIBILITAT,EN_EXECUCIO,2026,2029,4,2027-08-24,2027,19143.02,95495.2,19099.04,1
152,53,PI-2026-0052,08001030,20270714,Accessibilitat a centre 08001030,ACCESSIBILITAT,EN_EXECUCIO,2026,2029,5,2027-07-14,2027,5212.81,95495.2,19099.04,1
153,54,PI-2024-0053,08072292,20240826,Accessibilitat a centre 08072292,ACCESSIBILITAT,FINALITZAT,2024,2025,1,2024-08-26,2024,15745.73,91469.19,22867.3,1
