data,familia,prediccio,model_nom,model_versio,generat_el
2026-09-20,ESTRUCTURA,0.05,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-21,ESTRUCTURA,3.76,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-22,ESTRUCTURA,3.39,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-23,ESTRUCTURA,3.83,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-24,ESTRUCTURA,3.04,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-25,ESTRUCTURA,2.96,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-26,ESTRUCTURA,0.03,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-27,ESTRUCTURA,0.14,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-28,ESTRUCTURA,2.9,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-29,ESTRUCTURA,3.11,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-30,ESTRUCTURA,3.14,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-01,FONTANERIA,21.72,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-02,FONTANERIA,19.46,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-03,FONTANERIA,20.53,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-04,FONTANERIA,19.79,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-05,FONTANERIA,4.1,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-06,FONTANERIA,4.08,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-07,FONTANERIA,21.4,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-08,FONTANERIA,22.6,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-09,FONTANERIA,19.15,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-10,FONTANERIA,20.15,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-11,FONTANERIA,22.38,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-12,FONTANERIA,2.65,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-13,FONTANERIA,2.54,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-14,FONTANERIA,21.74,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-15,FONTANERIA,29.6,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-16,FONTANERIA,23.22,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-17,FONTANERIA,19.28,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-18,FONTANERIA,19.41,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-19,FONTANERIA,1.26,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-20,FONTANERIA,2.16,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-21,FONTANERIA,21.61,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-22,FONTANERIA,22.56,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-23,FONTANERIA,20.65,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-24,FONTANERIA,22.86,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-25,FONTANERIA,19.86,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-26,FONTANERIA,2.67,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-27,FONTANERIA,2.79,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-28,FONTANERIA,20.14,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-29,FONTANERIA,22.82,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-30,FONTANERIA,20.4,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-01,FUSTERIA,8.1,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-02,FUSTERIA,5.67,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-03,FUSTERIA,8.28,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-04,FUSTERIA,6.24,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-05,FUSTERIA,1.08,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-06,FUSTERIA,1.18,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-07,FUSTERIA,9.49,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-08,FUSTERIA,7.83,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-09,FUSTERIA,9.44,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-10,FUSTERIA,7.24,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-11,FUSTERIA,10.12,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-12,FUSTERIA,0.53,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-13,FUSTERIA,0.88,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-14,FUSTERIA,10.7,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-15,FUSTERIA,8.77,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-16,FUSTERIA,9.47,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-17,FUSTERIA,8.93,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-18,FUSTERIA,10.38,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-19,FUSTERIA,0.66,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-20,FUSTERIA,0.9,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-21,FUSTERIA,10.6,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-22,FUSTERIA,7.29,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-23,FUSTERIA,7.93,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-24,FUSTERIA,9.67,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-25,FUSTERIA,9.21,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-26,FUSTERIA,1.95,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-27,FUSTERIA,1.46,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-28,FUSTERIA,7.55,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-29,FUSTERIA,7.32,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-30,FUSTERIA,6.24,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-01,PALETERIA,6.51,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-02,PALETERIA,12.09,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-03,PALETERIA,10.57,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-04,PALETERIA,9.77,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-05,PALETERIA,4.24,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-06,PALETERIA,3.1,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-07,PALETERIA,10.91,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-08,PALETERIA,11.79,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-09,PALETERIA,11.09,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-10,PALETERIA,12.35,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-11,PALETERIA,13.2,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-12,PALETERIA,3.73,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-13,PALETERIA,2.5,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-14,PALETERIA,13.48,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-15,PALETERIA,11.56,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-16,PALETERIA,10.2,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-17,PALETERIA,13.85,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-18,PALETERIA,14.67,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-19,PALETERIA,1.53,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-20,PALETERIA,1.22,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-21,PALETERIA,12.36,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-22,PALETERIA,12.81,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-23,PALETERIA,12.15,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-24,PALETERIA,12.73,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-25,PALETERIA,13.43,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-26,PALETERIA,0.79,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-27,PALETERIA,1.03,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-28,PALETERIA,11.47,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-29,PALETERIA,13.38,xgboost,1,2026-08-27 19:27:01.410987+00:00
2026-09-30,PALETERIA,12.54,xgboost,1,2026-08-27 19:27:01.410987+00:00
